Age report
1 January 2025 - 6 March 2026
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,25 - 34,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,04-08-25-Performance Max India, --,Ad group not complete, --,THB,0,"27,478","3,016",10.98%,0.04,130.23,79.93%,"2,410.67",0.05
Enabled,45 - 54,04-08-25-Performance Max India, --,Ad group not complete, --,THB,0,"5,430",693,12.76%,0.05,31.84,80.52%,558.02,0.06
Removed,65+,(#2) Test Video Philippines,In-Market,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,55 - 64,(#2) Test Video Philippines,Keywords,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,65+,(#2) Test Video Philippines,Custom Audience,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,55 - 64,(#2) Test Video Philippines,Custom Audience,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,04-08-25-Performance Max India, --,Ad group not complete, --,THB,0.05,"16,594","1,910",11.51%,0.04,84.98,74.50%,"1,423.02",0.06
Enabled,Unknown,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,65+,(#2) Test Video Philippines,Keywords,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.42,"88,222","1,949",2.21%,0.61,1193.72,66.91%,"1,304.00",0.92
Enabled,18 - 24,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.18,"81,943","6,083",7.42%,0.24,1490.00,72.48%,"4,408.86",0.34
Enabled,35 - 44,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.08,"62,650","1,377",2.20%,0.93,1279.36,70.52%,971.00,1.32
Enabled,25 - 34,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.15,"81,630","6,201",7.60%,0.22,1377.44,66.38%,"4,116.27",0.33
Enabled,Unknown,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.06,"465,111","97,851",21.04%,0.05,5284.62,14.54%,"14,231.00",0.37
Enabled,18 - 24,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.05,"54,378","1,712",3.15%,0.83,1420.96,58.82%,"1,007.00",1.41
Enabled,65+,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.03,"51,485","7,404",14.38%,0.06,450.93,15.19%,"1,124.87",0.40
Enabled,45 - 54,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.13,"78,615","1,488",1.89%,0.65,963.67,75.74%,"1,127.00",0.86
Enabled,25 - 34,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.13,"35,929","1,043",2.90%,1.21,1267.06,62.80%,655.00,1.93
Enabled,45 - 54,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.04,"38,748","2,966",7.65%,0.14,423.77,39.72%,"1,178.00",0.36
Enabled,35 - 44,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.12,"42,460","2,993",7.05%,0.18,549.77,53.94%,"1,614.50",0.34
Enabled,65+,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.07,"83,103","1,444",1.74%,0.62,896.11,65.82%,950.50,0.94
Enabled,55 - 64,04-09-25-Performance Max Mexico, --,Ad group not complete, --,THB,0.04,"48,644","4,563",9.38%,0.09,426.92,24.16%,"1,102.49",0.39
Enabled,55 - 64,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.09,"49,980","1,069",2.14%,0.65,691.84,70.11%,749.50,0.92
Enabled,25 - 34,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,65+,(#1) Video Ad - India - 2023-10-04,Custom Audience,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,65+,(#1) Video Ad - India - 2023-10-04,In-Market,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
