Age report
1 January 2025 - 6 March 2026
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Removed,45 - 54,North America : Video views - 2025-03-05,Green Living,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,65+,North America : Video views - 2025-03-05,Sustainability + Education,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,North America : Video views - 2025-03-05,Green Living,Campaign paused, --,THB,0.48,"7,032","3,623",51.52%,0.41,1497.63,0.00%,0.00,0.00
Enabled,55 - 64,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,2.04,8,5,62.50%,1.23,6.13,0.00%,0.00,0.00
Enabled,35 - 44,North America : Video views - 2025-03-05,Sustainability + Education,Campaign paused, --,THB,0.44,"5,594","2,167",38.74%,0.39,838.35,0.00%,0.00,0.00
Enabled,25 - 34,North America : Video views - 2025-03-05,Sustainability + Education,Campaign paused, --,THB,0.40,"5,386","2,114",39.25%,0.35,746.87,0.00%,0.00,0.00
Enabled,35 - 44,North America : Video views - 2025-03-05,Green Living,Campaign paused, --,THB,0.47,"7,371","3,875",52.57%,0.40,1566.28,0.00%,0.00,0.00
Enabled,Unknown,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.24,"84,435","3,055",3.62%,0.37,1133.41,54.96%,"1,679.00",0.68
Enabled,25 - 34,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.27,"35,504","1,338",3.77%,0.96,1278.99,54.71%,732.08,1.75
Enabled,35 - 44,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.15,"40,424","1,248",3.09%,0.69,856.42,65.55%,818.12,1.05
Enabled,45 - 54,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.13,"76,588","2,218",2.90%,0.42,934.43,66.59%,"1,477.05",0.63
Enabled,18 - 24,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.75,"63,120","2,129",3.37%,0.65,1394.34,61.08%,"1,300.50",1.07
Enabled,65+,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.07,"92,960","2,743",2.95%,0.36,982.75,57.93%,"1,589.00",0.62
Enabled,55 - 64,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.11,"48,374","1,458",3.01%,0.41,604.18,64.49%,940.25,0.64
Enabled,Unknown,04-09-25-Performance Max North America, --,Ad group not complete, --,THB,0.45,"81,825","4,359",5.33%,1.19,5175.57,96.01%,"4,184.94",1.24
Enabled,Unknown,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"1,722,426","867,442",50.36%,0.02,13531.78,15.65%,"135,775.31",0.10
Enabled,25 - 34,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.03,"265,470","33,482",12.61%,0.08,2525.37,79.59%,"26,648.56",0.09
Enabled,18 - 24,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.03,"344,285","43,088",12.52%,0.08,3321.30,84.29%,"36,319.52",0.09
Enabled,45 - 54,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"53,307","6,579",12.34%,0.06,387.62,54.86%,"3,609.34",0.11
Enabled,45 - 54,04-09-25-Performance Max North America, --,Ad group not complete, --,THB,0.73,"27,511","1,109",4.03%,1.20,1335.32,73.23%,812.08,1.64
Enabled,45 - 54,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"153,289","17,979",11.73%,0.07,1290.86,73.78%,"13,265.21",0.10
Enabled,18 - 24,04-09-25-Performance Max North America, --,Ad group not complete, --,THB,0.33,"33,454","1,551",4.64%,1.36,2115.57,77.56%,"1,203.00",1.76
Enabled,Unknown,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,04-09-25-Performance Max North America, --,Ad group not complete, --,THB,0.35,"40,021","2,077",5.19%,1.22,2534.50,67.87%,"1,409.68",1.80
Enabled,18 - 24,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"112,260","20,098",17.90%,0.04,859.80,38.41%,"7,719.74",0.11
