# ----------------------------------------
# Events: Event name
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
Event name,Session source/medium,Total users,Event count
page_view,pl.search.yahoo.com / referral,2,2
page_view,search-dra.dt.dbankcloud.com / referral,2,3
page_view,sg.search.yahoo.com / referral,2,2
page_view,uk.search.yahoo.com / referral,2,3
page_view,yandex.com.tr / referral,2,2
page_view,(NEA) Ad Campaign / organic,1,1
page_view,Ads Campaign / SM,1,3
page_view,FubefZlYfffba Bef Dbzcbvta / Fbdvby Zfevb,1,1
page_view,Mariana Teran / (not set),1,2
page_view,NEA Email Newsletter Ad / NEA Email Newsletter Ad,1,11
page_view,Porvir / (Porvir) Social Media Posts,1,1
page_view,ShareMyLesson Campaign / (not set),1,1
page_view,ShareMyLesson Campaign / referral,1,1
page_view,adsmanager.facebook.com / referral,1,2
page_view,adwords.corp.google.com / referral,1,2
page_view,app.dripify.io / referral,1,1
page_view,app.falcon.io / referral,1,1
page_view,app.planbook.com / referral,1,8
page_view,app.sendible.com / referral,1,4
page_view,au.search.yahoo.com / referral,1,1
page_view,autoscout24.fr / referral,1,2
page_view,baciakte.online / referral,1,1
page_view,boardgamearena.com / referral,1,2
page_view,business.facebook.com / referral,1,46
page_view,calendar.google.com / referral,1,2
page_view,canva / iframely,1,3
page_view,cds-ext-ead-economiasustentavel-252.dreamshaper.com / referral,1,1
page_view,chat.openai.com / referral,1,1
page_view,chat.zalo.me / referral,1,4
page_view,chatgpt.com / organic,1,1
page_view,coches.trovit.es / referral,1,1
page_view,copilot.cloud.microsoft / referral,1,1
page_view,cvtblog.online / referral,1,1
page_view,dailyfx.com / referral,1,1
page_view,ddec1-0-en-ctp.trendmicro.com / referral,1,4
page_view,digitick.com / referral,1,1
page_view,domesticatedcompanion.com / referral,1,1
page_view,e.mail.ru / referral,1,1
page_view,eavuinsr.online / referral,1,1
page_view,ecf4clim.smartwatt.net / referral,1,4
page_view,eksisozluk.com / referral,1,2
page_view,encmbtia.online / referral,1,1
page_view,etufac.online / referral,1,1
page_view,fiverr.com / referral,1,2
page_view,fr.search.yahoo.com / referral,1,2
page_view,gemini.google.com / referral,1,1
page_view,github.com / referral,1,3
page_view,go.bsky.app / referral,1,1
page_view,groups.google.com / referral,1,1
page_view,hardreset.info / referral,1,1
page_view,homeofbob.com / referral,1,1
page_view,hugedomains.com / referral,1,1
page_view,hypertherm.sharepoint.com / referral,1,1
page_view,iste.lightning.force.com / referral,1,4
page_view,keep.google.com / referral,1,1
page_view,localhost / referral,1,2
page_view,localhost:6543 / referral,1,1
page_view,login.microsoftonline.com / referral,1,6
page_view,m.mgronline.com / referral,1,2
page_view,m.nearbyme.io / referral,1,2
page_view,macworld.com / referral,1,1
page_view,mail.aliyun.com / referral,1,5
page_view,mail.infinitummail.com / referral,1,2
page_view,mail3.spectrum.net / referral,1,1
page_view,malaysia.search.yahoo.com / referral,1,1
page_view,manager.cloud.ipdgroup.com:4443 / referral,1,2
page_view,mightytechy.com / referral,1,4
page_view,myportal.upou.edu.ph / referral,1,1
page_view,nfwbt.ratraiser.online / referral,1,1
page_view,openai / referral,1,1
page_view,ops.moe.go.th / referral,1,4
page_view,optiwise.teamwork.com / referral,1,1
page_view,orb-cn.glowapp.vip / referral,1,1
page_view,orchid-conch-cfrt.squarespace.com / referral,1,1
page_view,outlook.live.com / referral,1,2
page_view,perplexity / (not set),1,1
page_view,phimarshcer.online / referral,1,1
page_view,portal.ct.gov / referral,1,1
page_view,presearch.com / referral,1,4
page_view,publicdomainpictures.net / referral,1,1
page_view,qra.ai / referral,1,1
page_view,qrcodescan.in / referral,1,1
page_view,qwant.com / organic,1,1
page_view,resumetrud.com / referral,1,1
page_view,saharaj.net / referral,1,1
page_view,search-dre.dt.dbankcloud.com / referral,1,1
page_view,search.app / referral,1,1
page_view,secretchina.com / referral,1,1
page_view,secure.smore.com / referral,1,1
page_view,sense.sopact.com / referral,1,1
page_view,sites.google.com / referral,1,1
page_view,smbsalesimplementation.my.salesforce.com / referral,1,5
page_view,teachercourse2023.education.gov.il / referral,1,6
page_view,thescea.org / referral,1,1
page_view,tipz.io / referral,1,2
page_view,us.search.yahoo.com / referral,1,1
page_view,usc-powerpoint.officeapps.live.com / referral,1,1
page_view,usc-word-edit.officeapps.live.com / referral,1,1
page_view,user-content.s4.sfmc-content.com / referral,1,1
page_view,vamarinedebriscoalition-odu-geosea.hub.arcgis.com / referral,1,1
page_view,vercel.live / referral,1,2
page_view,view.genially.com / referral,1,3
page_view,vn.search.yahoo.com / referral,1,1
page_view,vnseameo.org / referral,1,1
page_view,webhitlist.com / referral,1,1
page_view,webmail1.earthlink.net / referral,1,1
page_view,word-edit.officeapps.live.com / referral,1,1
page_view,wordhippo.com / referral,1,1
page_view,yesware.com / referral,1,1
page_view,youthentrepreneurs.lightning.force.com / referral,1,3
