# ----------------------------------------
# Events: Event name
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
Event name,Session source/medium,Total users,Event count
user_engagement,Mariana Teran / (not set),1,1
user_engagement,NEA Email Newsletter Ad / NEA Email Newsletter Ad,1,5
user_engagement,Porvir / (Porvir) Social Media Posts,1,1
user_engagement,ShareMyLesson Campaign / referral,1,1
user_engagement,adsmanager.facebook.com / referral,1,2
user_engagement,adwords.corp.google.com / referral,1,1
user_engagement,app.dripify.io / referral,1,1
user_engagement,app.planbook.com / referral,1,3
user_engagement,app.sendible.com / referral,1,1
user_engagement,au.search.yahoo.com / referral,1,1
user_engagement,autoscout24.fr / referral,1,2
user_engagement,business.facebook.com / referral,1,26
user_engagement,calendar.google.com / referral,1,2
user_engagement,canva / iframely,1,2
user_engagement,cds-ext-ead-economiasustentavel-252.dreamshaper.com / referral,1,1
user_engagement,chat.openai.com / referral,1,1
user_engagement,chat.zalo.me / referral,1,4
user_engagement,chatgpt.com / organic,1,2
user_engagement,cl.search.yahoo.com / referral,1,1
user_engagement,coches.trovit.es / referral,1,1
user_engagement,cop.enneplusproject.eu / referral,1,1
user_engagement,copilot.cloud.microsoft / referral,1,1
user_engagement,e.mail.ru / referral,1,1
user_engagement,ecf4clim.smartwatt.net / referral,1,2
user_engagement,fiverr.com / referral,1,2
user_engagement,fr.search.yahoo.com / referral,1,1
user_engagement,gemini.google.com / referral,1,1
user_engagement,homeofbob.com / referral,1,1
user_engagement,hypertherm.sharepoint.com / referral,1,1
user_engagement,iste.lightning.force.com / referral,1,4
user_engagement,liblink.pl / referral,1,1
user_engagement,localhost / referral,1,2
user_engagement,localhost:6543 / referral,1,1
user_engagement,login.microsoftonline.com / referral,1,3
user_engagement,m.nearbyme.io / referral,1,2
user_engagement,mail.aliyun.com / referral,1,4
user_engagement,mail.infinitummail.com / referral,1,1
user_engagement,mail3.spectrum.net / referral,1,1
user_engagement,malaysia.search.yahoo.com / referral,1,1
user_engagement,mightytechy.com / referral,1,1
user_engagement,myportal.upou.edu.ph / referral,1,1
user_engagement,ops.moe.go.th / referral,1,4
user_engagement,optiwise.teamwork.com / referral,1,1
user_engagement,orb-cn.glowapp.vip / referral,1,1
user_engagement,orchid-conch-cfrt.squarespace.com / referral,1,1
user_engagement,pagead2.googlesyndication.com / referral,1,1
user_engagement,petalsearch.com / referral,1,8
user_engagement,portal.ct.gov / referral,1,1
user_engagement,presearch.com / referral,1,1
user_engagement,qwant.com / organic,1,1
user_engagement,search.app / referral,1,1
user_engagement,secure.smore.com / referral,1,1
user_engagement,sense.sopact.com / referral,1,1
user_engagement,sg.search.yahoo.com / referral,1,1
user_engagement,sites.google.com / referral,1,1
user_engagement,smbsalesimplementation.my.salesforce.com / referral,1,3
user_engagement,thescea.org / referral,1,1
user_engagement,tricityecology.org / referral,1,1
user_engagement,usc-powerpoint.officeapps.live.com / referral,1,1
user_engagement,usc-word-edit.officeapps.live.com / referral,1,1
user_engagement,user-content.s4.sfmc-content.com / referral,1,1
user_engagement,vamarinedebriscoalition-odu-geosea.hub.arcgis.com / referral,1,1
user_engagement,vercel.live / referral,1,2
user_engagement,view.genially.com / referral,1,3
user_engagement,vn.search.yahoo.com / referral,1,1
user_engagement,vnseameo.org / referral,1,1
user_engagement,webmail1.earthlink.net / referral,1,1
user_engagement,word-edit.officeapps.live.com / referral,1,1
user_engagement,youthentrepreneurs.lightning.force.com / referral,1,1
