Gender report
1 January 2025 - 6 March 2026
Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.41,"10,312",348,3.37%,0.66,230.54,61.78%,215.00,1.07
Enabled,Unknown,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.24,"12,322",968,7.86%,0.36,348.38,36.88%,357.00,0.98
Enabled,Male,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.08,"194,921","6,669",3.42%,0.54,3618.43,57.48%,"3,833.50",0.94
Enabled,Female,04-09-25-Performance Max Spain #2 Active, --,Ad group not complete, --,THB,0.08,"234,162","6,552",2.80%,0.49,3217.70,66.32%,"4,345.50",0.74
Total: Genders,,,,,,THB,0.04,"8,875,430","2,166,166",24.41%,0.05,114910.39,29.67%,"642,718.50",0.18
Total: Display automatic targeting,,,,,,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Account,,,,,,THB,0.04,"8,875,430","2,166,166",24.41%,0.05,114910.39,29.67%,"642,718.50",0.18
Total: Search,,,,,,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Performance Max,,,,,,THB,0.03,"8,836,306","2,148,603",24.32%,0.05,108143.19,29.91%,"642,718.50",0.17
Total: In-stream video,,,,,,THB,0.45,"39,124","17,563",44.89%,0.39,6767.20,0.00%,0.00,0.00
